awareness-raising, damaged
fair , perpetual
living, pushy
estimated, modernized
boring , recognizes
acceptable, remediated
flawless, passionate
long-term, peripheral
export, terrific
heeded, perfect
administered, seasick
disappointed, lye
permissible, tenuous
founded, surer
long-winded, unique 
short-term, sincere
remediated, scientifically
flammable, gross
agreed-upon, current
average, successful
improper, relaxed 
colder, reality
fast , rusty
infallible, prominent
accordingly, paid
patentable, well-off
defenceless, written
built, wealthier
outdated, rigid
prudent, vigorous
already, hour
charged, desolate
cranky, him
onerous, willing
doin, own
depressing, refundable
abused, inconsequential
fixated, lawful
anywhere, expressed
antsy, inalienable
seldom, wounded
intimidating, per
emphasise, fruitless
proud, savage
girlie, tolerated
across-the-board, seropositive
insecure, specialised
economical, gay
iilegal, useless
dependent, doubtful
inconsequential, unreasonable
responsive, right-handed
erected, pro-active
foxy, negligeable
deposited, quality 
this, upper
attentive , broke
infected, much 
asleep, interesting 
infuriating, next
reasonnable, security
exposed, underfunded
hideous, unfortunate 
commonplace, complementary
environmentally-friendly, immersive
timelier, vocational
doubt, ignored
ineffective, scrumptious 
intractable, suck
eligible, untrue
counter, robust
enlarged, insulted
eerie, fairly
abolished, preliminary
shitty, well-planned
disagreeable, moron
compulsory, disquieting
practical, stern
booming, deader
agreed, nosy
particular, stylish
blank, scientifically
mutual, predominantly
dispute, looser
delighted , fairly
!, above-board
armed, resilient
obvious, tremendous
on, screwed
illiquid, insupportable
commendable, unlucky
fairest, rigid
unprejudiced, wet
adequate, warned
good-iooking, quick
heights, terrible 
diseased, enhancing
immutable, intriguing
gaunt, tied
agreed-upon, flattering
eleven, fussy
in-house, overly-high
corresponding, dumber
indigent, quoted
delicate, such
contemptible, forgiving
commercial, perfectly
affluent, such
clerical, formidable
apparent , comprehensible
nasty, right
reported, solid 
hot, ripe
immediate, well-formed
humiliated, low-skilled
dismissed, neat 
intolerable, scary 
adjacent, living
solemn, specific
aware, stellar
heterogeneous, undisputed
braver, carmela
overwhelming , progress
iegitimate, swearing
panicked, vigorous
annoying, thanks
policy, various 
fiercer, harmonised
positive, sealed
addition, leveraged
hollow, imprecise
acquainted, short-term
exciting, gone
disposal, ill-defined
abundant, suspicious
previously, treatable
glamorous, heartbroken
disproportionate, probably
deep-rooted, soaked
determined, kind 
david, lousy
motivated, moving
impoverished, on-going
discretionary, internal
inconclusive, inconsequential
girl, key
liable, unfathomable
slimmer, subsequent
identified, several
awareness-raising, undecided
antiquated, unexpected
absolutely, ecological
personal, restrictive
disciplined, practice-oriented
deliberate, enduring
designated, riveting
fun, greatest
adaptable, better-iooking
comparable , salute
enlarged, flattered
liberal, yummy
tricky , uptown
northeastern, smooth
suited, thought-out
intermediate, unfettered
clever, multi-threaded
ended, today
ageing, hands-on
displeased, sleepy
poorest, sappy
conceivable, remote
disadvantaged, least
articulated, death-proof
accelerated, authentic 
realizing, sweet
nosey, supportive
attention, mimi
cheerful, popular
earliest, massive
intertwined, strongest
classical, enlightening
blameless, enjoyable 
maximal, suspicious
explicit, ma
childish, suspect
clean, diversified
swearing, wanted
brief , hospitable
unremarkable, yesterday
average, displaced
naked, patience
enhancement, international
dreadful, retail
loveable, so
inconvenient, similar
appreciated, volatile
concentrated, vigilant
unemployed, unhappy 
futile, non-exhaustive
distracting, executable
mysterious, rusted
appropriate, non-compensatory
counter-productive, leading
inconceivable, well-placed
smarter, wet 
other , s-sorry
emerged, groovy
built, often
defenceless, pivotal
homicidal, stern
adulthood, queer
apposite, unlawful
desired, stagnant
broadest, controversial
bi-directional, unambiguous
created, poverty-stricken
firstly, shorty
insulting, proceed
flattering, quoted
marvellous, understood
experienced, impermissible
solemn, unsustainable
third, well-positioned
!, filed
longer, tougher
childish, unabated
last-minute, trained 
narrow, stillborn
humbled, imperfect
clarified, wrecked
counter-productive, timely
kid, opening-up
essentially, pretentious 
funnier, personalized
in-depth, rusty
korean, vibrant
flicka, nonsensical
deep, tasty
cooler, divine
enduring, ill
balanced, cost-effective
fitting, undemanding
around, lovable
miscellaneous, temporarily
case, robust
additional, self-sufficiency
audacious, snappy
accessible, smitten
included, unreasonable
mature, scarcer
discernible, impenetrable
horrendous, kane
annoying , organised
classical, delicious
momentary, principal
generally, unsuitable
dedicated, mild 
embedded, prominent
comforting, useable
emotive, well-educated
alright, understand
condescending, rising
ineffectual, off
derisory, smooth 
cold-rolled, divine
probably, satisfied
green , necessary
challenged, complete
created, trendy
dark, preferred
advantageous, widespread
handy , incompetent
grass-roots, precarious
darling, well-structured
breathtaking, effortless
alert, mama
irrelevant, lame 
minuscule, pre-established
authorized, delineated
co-financed, gross 
ingrained, intertwined
handsome, steeper
applicable, handled
improbable, unproblematic
fairest, increased
comforting, doubt
doin, fabulous 
indebted, near 
gratifying, quality 
funny, southeastern
information, static
amended, subdued
proud , wrong 
elected, last 
unlimited, unquestionable
prescriptive, retrievable
meritorious, unforeseen
hungry, user-friendly
one-sided, opposite 
crowded, delighted
aggrieved, short-lived
bitter, undemocratic
mixed, resilient
bi-directional, on
diversified, erected
magic , subsidized
iittle, missy
abreast, undisputable
brilliant, iate
inaudible, professional 
costeffective, happen
unexpected, vigilant
illiquid, short-term
fewer, long-term
dodgy, holistic
home, slight 
complex, proper
inadmissible, transnational
initial, science-based
random, trained 
acceptable , hard
distasteful, wide 
inconsistent, realisable
atrocious, headstrong
obsessed, remarkable 
disproportionate, handed
reality, ridonc
incompatible, urgent
outdated, stout
ongoing, seminal
sharp, zesty
afflicted, grass-roots
proscribed, unsteady
informed, pretend
girl, wild
first-class, terrifying
attended, insulted
dopey, young
malignant, slow 
ok, supplementary
all, overheated
improper, standing
meticulous, thought-provoking
distributed, extant
indispensible, intentionally
enhancement, worldwide
pushy, slow 
collective, overly-high
necessarily, retail
oral, touching
smarty, unavoidable
jealous, manufactured
essential, similarly
inter-related, lousy 
accountability, neighbours
priceless, romantic
recurrent, spicy
outstanding , unconvincing
slow , unimaginable
favoured, instrumental
humiliating, phenomenal
north, unwelcome
disagreeable, indefensible
introduced, set
incomplete, successful 
deplorable, unbecoming
processing, vested
comfy , foremost
following , illicit
admitted, fifth
1st, spoilt
handicapped, rude 
installed, tacky
attentive, deep-rooted
far , principally
fucked-up, good-iooking
costly, degraded
heinous, thought-out
unusual, watchful
determining, interdisciplinary
cognizant, pro-choice
exceptional , unspecified
lethal, noted
cultural, humiliated
application, rampant
indefensible, mla
slick, yummy
illiquid, non-exclusive
hon, uneven 
batty, overwhelmed 
claire, spontaneous
gentle , impossible
far, inaccurate
thought-out, well-formed
steady, stringent
groovy, vice-chairman
away, sticky
better-quality, singular
flat, impaired
badly, on-going
10, excellent 
organic, placed
patience, vested
nifty, vibrant
omnipresent, reliable 
concise, flexibly
clever, debate
bi-directional, stupid-looking
all-round, insubstantial
exorbitant, jurisdictional
herein, single-ranked
grim, southeast
mixed , unknown
co-, rarest
conflicting, emblematic
classic, euphoric
incredible , insincere
happier, unpublished
scandalous, sour
accustomed, comfy 
predominantly, undemocratic
elsewhere, tedious
unfortunate , weakest
mighty, rooted
government-owned, sing
best-known, restored
hollow, welcome 
annually, leveraged
unique , visible 
short, top 
in-progress, stubborn
low, scary
heterosexual, unhealthy
double, good
automatic, triple
dopey, yummy 
disappointing , elaborated
debated, run
flattering, upfront
nonsensical, sicker
holy, on-going
contentious, expensive
seropositive, well-organized
round, spectacular
dominant, though
advisable, elevated
need-to-know, specified
nice-looking, stillborn
il, petrified
discreet, extant
contaminated, naked 
crazed, twofold
lazy, virtuous
emotional, iil
droll, scarce
formed, moist
astounding, glorious
ageing, sane
middle, senior
morbid, visible
generic , well 
fertile, longstanding
cheap, okay 
described, reprehensible
flexibly, top
equally, selfevident
completed, full
changed, comparable
lye, vested
follows, imminent
recognizes, welcome 
consideration, developing
iike, pressing
continuous, forgotten
uncommon, well-structured
awaited, medium
freezing, unethical
delightful , realizing
helpful, jack
enchanting, legit 
harder, slender
distinguishable, observed
casual, unhappy
gratifying, hard-pressed
all-powerful, timelier
enriching, secured
secondary, treatable
for, hiv-positive
nobler, sustainable
ridiculous, world-wide
defunct, unimaginable
frazzled, unbalanced
discretionary, tiresome
centralized, well 
end-to-end, hot 
doctor, stagnant
lofty, picky 
prolonged, recognizing
heartbroken, tolerable
dead-on, public
intertwined, outstanding 
adjusted, hurry
key, pitiful
populous, well-written
all, wealthiest
however, publicly
diligent, suspect
near , unexpected 
ignorant, yo
interim, live 
down, such
minute, pertinent
clean, south
aggravating, democratic
cheapest, hither
collective, identify
compact, incidental
operative, unsavory
gratuitous, popular 
lovelier, sufficiently
nuts, unexceptable
poverty-stricken, thirteen
aforesaid, results-oriented
grateful, happen
elevated, fine
pilot-tested, viable
brief, jurisdictional
charmed, exceptional 
attentive, liberal
full, marginalized
danger, familiar 
legible, roll
rare, varied
coherent, farther
course, unhappy
free, ruthless
toasted, well 
afflicted, mainly
enormous , looser
elegant , youthful
fundamental, rarer
hinky, symbolic
'sgoing, hiv-positive
ample, it
brief, selective
divergent, smarty
geographically, run
costeffective, fantastic 
beneficial, tentative
heights, inspirational
oriental, strange 
edible, flat
hence, uptight
part, provisional
extensible, noble
heterosexual, thoroughly
beloved, taken
central , graver
interest, involved
astonishing, either
endemic, picky
disproportionate, unprejudiced
untapped, vulgar
co-ordinated, mandatory
confident, introduced
especiaily, iittle
adverse, sharp
relative, state-of-the-art
inestimable, widest
defenceless, fragmented
invisible, key 
bolder, contemplated
african, resident
disturbed, specifically
discretionary, justifiable
busy , rarely
incapable, sharp 
exquisite, incompatible
grown-up, unforeseeable
iate, trained
latter, legit
handled, well-reputed
discretionary, identifiable
plentiful , splitting
ambitious, concrete
sparse, well-formed
again, worried
associated, nonexistent
hostile, pro-poor
centralized, helpless
amiss, evolving
extraordinary, ggood
cognizant, other 
understood, unjustified
enchanting, trivial
accused, egotistical
cleanest, narrow
attention, discriminate
leaner, six-year
awareness-raising, managed
dumber, pushy
!, primordial
great , prohibitive
possibly, unconvincing
blinded, cooperative
scared, usually
preferable, screened
schizo, skint
outside , perfect
responsible, yellow
mesmerizing, two-thirds
fiine, justifiable
co-operation, faster
down, harsh 
drier, fantastic
eager, supported
implacable, inter-related
princess, stupide
jurisdictional, re-routed
proportionate, unitary
calculated, up
absent, sooner
long-standing, scientific
heartbroken, starker
main, topical
fresh, furthest
big , sizable
equivocal, thin 
early , use
preferable, unjustifiable
docile, prompt
confident, rank
intertwined, there
inter-dependent, symbolic
-surprised, cozy
poorer, satisfactory
debate, usual 
malignant, trained
badly, cattled
brittle, nascent
fraudulent, perfect 
aforementioned, unconventional
due, under-funded
environmental, rooted
intricate, prohibitive
closed , undesirable
mild, sick 
inalienable, well-paid
considered, suck
mistaken, senseless
fun-loving, sappy
berserk, surreal
droll, unlucky
awful, visibility
ingrained, resistant
announced, viewable
reasonable, to
outnumbered, working
favourable, repulsive
eventually, understanding
innocuous, nifty
ensure, older
pleased, stated
certified, healthier
free, history
rock-hard, sufficient
fastest, unable
soaring, unwise
continual, reckless
near , sophisticated
boring , radiant
any, shy
ambitious, refined
joyful, western
disputable, included
all-encompassing, fairly
non-toxic, verify
cost-shared, deep
luminous, wide 
ferociously, me
accelerated, candid
blow, everyone
elegant, incomprehensible
displeased, heights
common , precarious
bull, faithful
extensive, yummy
this, vocational
lye, peripheral
aligned, sketchy
expandable, sentimental
administered, trivial
checked, precarious
brightest, evident
abrasive, competitive 
fairer, pretentious 
dark, slippery
justiciable, overwhelmed
blinded, temporary
between, long-lasting
natural , stimulating
advertised, odd 
clear , dearer
monthly, ridonc
leave, vivid
annulled, middle
interrelated, sad
effective, vice-chairperson
many, scanty
small , various
generic , switching
bullshit, ping-pong
basic, full
hilarious, quickest
corrupt, vibrant 
stoned, undisputable
fresh, proper
firmer, over-the-air
round, untouched
cohesive, thanan
extra, preferred
disappointing , underage
beautiful , destitute
free-standing, last-minute
flexible , self-governing
bummed, competent
analogous, improper
stipulated, surrounded
dominant, useless
five, similar 
efficacious, squeamish
emotional, though
co-financed, little
hinky, international
exclusive, mla
elementary, well-maintained
cooperative, hateful
go, sufficiently
great , impermissible
away, galore
fairly, regular 
added, nationwide
sensational, us
naked , superficial
awake, gullible
all, supportive
ill-founded, stifling
onerous, squeamish
actively, luck
alert, somewhat
cost-effectively, subsidized
racked, yesterday
ridonc, toast
functionally, quieter
completely, user-defined
-me, unprofitable
ourselves, unworkable
genius, up-to-date
adequate , whassup
bad-ass, candid
eastern, premier
contradictory, ok
alternative, sick 
issue, pre-published
ideally, rude 
craze, impeccable
forthright, notable
conventional, pristine
shortest, weary
lame, unconvincing
ageing, david
confident , pronounced
broader, fat
organised, outside
fun-loving, launched
rescinded, thick
crippled, nigh
geographically, sloppy
allergic, unsteady
actual, sole
evident, fancy
good-natured, horseshit
hopeful, technology-neutral
iittle, satisfied
general, school
extensive, pitiful
endemic, west
deserted, underpaid
displaced, solid 
battered, ridonc
remediated, untapped
extinct, supplemental
built, stale
busy , user-defined
commendable, startling
selected, self-sustaining
fucked, seductive
problem, telling
bolder, buoyant
deceptive, defenseless
dead-on, stressful
destitute, endemic
charming , preceding
dark, scanty
arranged, competitive
completed, unrealistic
reprehensible, underlying
desirable, young 
onboard, worded
grievous, hideous
erected, gigantic
intolerable, okay 
awaited, bulletproof
unimpressive, unsavory
formed, talented
!, herein
opposite , to
advantaged, global
attainable, inequitable
natural, note
inside, stupid-looking
dishonest, uncomfortable 
brainless, small-scale
panicked, trustworthy
grimmer, interested
serious, unanimously
abnormal, scarcer
celebrities, utopian
integral, widespread
designated, enlarged
nationwide, wide-open
intense, non-discriminatory
acclaimed, environmentally-friendly
incorrect , missy
ionely, state-of-the-art
-mentioned, legendary
buoyant, controlled
bloodied, slimmer
adaptive, competence
compensable, extirpated
assertive, unambiguous
earlier, spatially
pitch-dark, warranted
dickish, lonesome
dotty, unexpected 
omnipresent, twice
lengthier, them
held, impartial
adopted, elementary
determinative, impossible
buoyant, sufficiently
indisputable, toasted
introduced, onboard
exhaustive, lovely
inconvenient, pleasant 
serene, wholesome
real, well-developed
same, superior
mechanical, vibrant 
clerical, handled
rusty, supplementary
responsible , truer
contradictory, familiar
big, curious 
geek, unspecified
someday, well-positioned
rad, remarkable
extraordinary, statewide
-good, shifty
overloaded, unwelcome
amusing, simplest
angry, strange
fake, large-scale
immense, unpopular
low , novel
heights, relentless
accustomed, disturbed
anticipated, self-aware
blind, precarious
lucid, neglected
cost-effectiveness, envious
anymore, below
indiscriminate, manufactured
able, traditional 
evident, high-ranking
appalling, free
amended, intractable
imperative, mistaken
pluralistic, settled
inconceivable, patentable
discrete, impressive
exorbitant, incalculable
goodto, invariable
bonnie, well-developed
ensuring, especiaily
