anne-104.txt
2017-05-23 19:01:08.480879
------------------------------------------------
average pairwise : 69.0%
average tau:  0.39
average |tau|:0.39
------------------------------------------------
=== tau:
0.388888888889

=== pairwise accuracy:
0.694444444444

=== gold: 
['gross']
['ugly']
['drunk']
['dark']
['lousy']
['dirty']
['messy']
['nasty']
['filthy']

=== algo: 
['messy']
['gross']
['dark']
['drunk']
['dirty']
['ugly']
['lousy']
['nasty']
['filthy']

prob*:	6.02324441754e-09
link-probs:
	('messy', 'gross', 0.5430228748224218)
	('messy', 'dark', 0.5697016690556124)
	('messy', 'drunk', 0.6060623887304258)
	('messy', 'dirty', 0.3333333333333333)
	('messy', 'ugly', 0.6599607613015012)
	('messy', 'lousy', 0.6597690693904085)
	('messy', 'nasty', 0.3333333333333333)
	('messy', 'filthy', 0.6629453108666994)
	('gross', 'dark', 0.52990747289273)
	('gross', 'drunk', 0.5754306518775849)
	('gross', 'dirty', 0.6559256656663072)
	('gross', 'ugly', 0.6554510330649018)
	('gross', 'lousy', 0.65513497946246)
	('gross', 'nasty', 0.6554553303617411)
	('gross', 'filthy', 0.3333333333333333)
	('dark', 'drunk', 0.5495470886276062)
	('dark', 'dirty', 0.6514423922023436)
	('dark', 'ugly', 0.650779405554313)
	('dark', 'lousy', 0.6503383798727475)
	('dark', 'nasty', 0.650785404547329)
	('dark', 'filthy', 0.6577385402145252)
	('drunk', 'dirty', 0.6396069081550029)
	('drunk', 'ugly', 0.6384741883479391)
	('drunk', 'lousy', 0.637722718725484)
	('drunk', 'nasty', 0.6384844212622108)
	('drunk', 'filthy', 0.6505497488755111)
	('dirty', 'ugly', 0.8)
	('dirty', 'lousy', 0.4938790529373624)
	('dirty', 'nasty', 0.625)
	('dirty', 'filthy', 0.8333333333333334)
	('ugly', 'lousy', 0.6666666666666666)
	('ugly', 'nasty', 0.6666666666666666)
	('ugly', 'filthy', 0.5483992640755405)
	('lousy', 'nasty', 0.5024305122980054)
	('lousy', 'filthy', 0.5505854260168368)
	('nasty', 'filthy', 0.5483690019835438)

------------------------------------------------
=== END
